Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
Paritalo | 4h + k + kph + s + wc + khh + var + ak,"Välisenkuja 3 b, Palokka, Jyväskylä",307 000 €,102 m²,2016
Kerrostalo | 2h + k + kh,"Lepolantie 8, Vaajakoski, Jyväskylä",76 000 €,54 m²,1965
Rivitalo | 2h + k + ma / vh + wc + kph + s + var,"Kivirannantie 19, Palokka, Jyväskylä",127 000 €,64 m²,1980
Kerrostalo | 2h + kk,"Satamakatu 27 A, Lutakko, Jyväskylä",209 000 €,44 m²,2008
Kerrostalo | 1h + k,"Rajakatu 30 A, Keskusta, Jyväskylä",89 000 €,35 m²,1955
Kerrostalo | 3h + k + s,"Varppaaja 3, Lutakko, Jyväskylä",209 000 €,"68,5 m²",1999
"Kerrostalo | 1 huone, keittokomero, kylpyhuone, lasitettu parve","Gummeruksenkatu 11 B, Keskusta, Jyväskylä",114 000 €,24 m²,1961
"Rivitalo | 4-5h, k, s, ph, ym","Käsälä 4, Lohikoski, Jyväskylä",258 000 €,175 m²,1970
"Kerrostalo | 2 huonetta, keittiö, kylpyhuone, lasitettu parveke","Seitikintie 9 A, Keltinmäki, Jyväskylä",65 000 €,"64,5 m²",1974
"Kerrostalo | 5h, k, r, s, parvi","Iltarannantie 4, Ainolanranta, Jyväskylä",349 000 €,"138,5 m²",2006
"Kerrostalo | 3h, k, kh, s, vh, 2xterassi","Jokivieru 4 B, Väinölä, Jyväskylä",139 500 €,73 m²,1993
"Paritalo | 5h, k, kph, s, 2wc, p, toimisto","Majajärventie 7 as, Kukkumäki, Jyväskylä",98 000 €,173 m²,1957
Rivitalo | 1h + k + s,"Humperintie 2 B, Korpilahti, Jyväskylä",35 000 €,"37,8 m²",1990
"Kerrostalo | 3h, k, s, kph, khh, wc, viherh, ransk.p","Yliopistonkatu 34, Keskusta, Jyväskylä",275 000 €,"87,5 m²",2006
"Kerrostalo | 4h, k, s, kph, wc, vh, las.p.","Äijälänrannantie 34, Äijälänranta, Jyväskylä",424 500 €,109 m²,2014
Omakotitalo | Oh + mh + k + kph + pkh + s + wc + et + kuisti,"Tiiliruukinkatu 15, Tikkakoski, Jyväskylä",90 000 €,77 m²,1954
Rivitalo | 2H + KK + S,"Soidintie 6 A 2, Köhniö, Jyväskylä","13 881,01 €",45 m²,1998
Kerrostalo | 4h + k + s,"Kelokatu 6, Rasinrinne, Jyväskylä","27 232,96 €",78 m²,2009
Kerrostalo | 3h + k + s,"Heinäkuja 1 ja 2, Palokka, Jyväskylä","27 688,2 €","69,5 m²",2017
